#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-5.676787,117,6.516275,-53.35546607036585,-3.255466070365854,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.5470076,41,6.565771,-52.06778772371443,-1.967787723714431,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.5193844,9,6.578286,-51.92006897779562,-1.9200689777956157,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8424263,24,6.60694,-55.0016538909189,-5.001653890918906,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.843328,23,6.634463,-55.067711911137906,-5.0677119111379,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8739805,19,6.657985,-55.43468542783601,-5.334685427836007,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.782938,49,6.713719,-54.468220635800485,-4.468220635800488,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.3979387,82,6.807129,-50.55967675299564,-0.559676752995637,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.588545,26,6.838974,-52.35646391767101,-2.256463917671005,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.544382,34,6.879689,-51.91501183809493,-1.8150118380949314,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.5155535,14,6.899253,-51.72123259285176,-1.7212325928517647,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8722644,23,6.929116,-55.11389348137186,-5.1138934813718535,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.76145,14,6.947913,-54.16784822934272,-4.067848229342715,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.51509,23,6.976573,-51.888688812373076,-1.8886888123730792,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6661787,23,7.004922,-53.35090981868145,-3.3509098186814548,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.642626,9,7.01811,-53.24333620757476,-3.2433362075747603,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.542185,41,7.068589,-52.233829555652136,-2.1338295556521345,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.530322,73,7.153918,-51.900958925792516,-1.7009589257925146,0.0,0.0,0.0,0.0,0.0,1,-50.2
